lon,lat,ken,address,H27,H28,H29,H28D,H29F
139.587498888889,35.8039480555556,埼玉,朝霞市溝沼４−１−４３,185000,186000,187000,0.540540540540541,0.537634408602151
139.587821111111,35.9524688888889,埼玉,上尾市大字中新井字北原２９２番３外,56700,57000,57000,0.529100529100529,0
139.58784,35.8357911111111,埼玉,志木市中宗岡５−２８−８,162000,162000,162000,0,0
139.589747222222,35.9773613888889,埼玉,上尾市上町１−１０−１３,157000,158000,158000,0.636942675159236,0
139.589771944444,36.1226480555556,埼玉,加須市礼羽２２８番８,0,43400,42800,Nan,-1.38248847926267
139.590183888889,36.131465,埼玉,加須市不動岡１−１−１２,39100,38900,38700,-0.51150895140665,-0.51413881748072
139.590628888889,35.9217838888889,埼玉,さいたま市西区三橋６丁目１５００番８,0,109000,109000,Nan,0
139.590781111111,35.9823561111111,埼玉,上尾市本町５−１６−２,116000,116000,116000,0,0
139.590913888889,35.9794869444444,埼玉,上尾市本町３−３−７,0,97800,97800,Nan,0
139.59154,35.80061,埼玉,朝霞市溝沼２−１−５５,220000,220000,221000,0,0.454545454545455
139.591791944444,35.7891580555556,埼玉,朝霞市幸町３−４−２４,171000,172000,173000,0.584795321637427,0.581395348837209
139.591972222222,35.9722197222222,埼玉,上尾市仲町１−８−２６,206000,206000,206000,0,0
139.592453055556,36.1216519444444,埼玉,加須市富士見町１２−２５,49800,49400,49100,-0.803212851405622,-0.607287449392712
139.592471944444,35.9195361111111,埼玉,さいたま市西区三橋６丁目７８０番１外,111000,112000,113000,0.900900900900901,0.892857142857143
139.593718888889,35.9755738888889,埼玉,上尾市仲町２−９−４,150000,151000,151000,0.666666666666667,0
139.593978888889,35.9034930555556,埼玉,さいたま市西区三橋５丁目２０５３番１,100000,100000,100000,0,0
139.594111111111,35.8245111111111,埼玉,朝霞市宮戸４−１１−７０,180000,180000,181000,0,0.555555555555556
139.594513888889,35.96446,埼玉,上尾市西宮下２丁目７３番,106000,106000,106000,0,0
